"Step","zerobasebeta3t2_numdata5lag2noise1.0lo128hi128sz00001max50000_0707_172415 - Gradnorm","zerobasebeta3t2_numdata5lag2noise1.0lo128hi128sz00001max50000_0707_172415 - Gradnorm__MIN","zerobasebeta3t2_numdata5lag2noise1.0lo128hi128sz00001max50000_0707_172415 - Gradnorm__MAX"
"0","99999.9921875","99999.9921875","99999.9921875"
"20","15874.74609375","15874.74609375","15874.74609375"
"40","16131.47265625","16131.47265625","16131.47265625"
"60","16705.14453125","16705.14453125","16705.14453125"
"80","9829.7421875","9829.7421875","9829.7421875"
"100","23885.474609375","23885.474609375","23885.474609375"
"120","23003.173828125","23003.173828125","23003.173828125"
"140","26875.44921875","26875.44921875","26875.44921875"
"160","32100","32100","32100"
"180","22913.966796875","22913.966796875","22913.966796875"
"200","12362.681640625","12362.681640625","12362.681640625"
"220","13153.2314453125","13153.2314453125","13153.2314453125"
"240","13923.5693359375","13923.5693359375","13923.5693359375"
"260","34904.1328125","34904.1328125","34904.1328125"
"280","21020.923828125","21020.923828125","21020.923828125"
"300","11007.0439453125","11007.0439453125","11007.0439453125"
"320","24773.16796875","24773.16796875","24773.16796875"
"340","23882.83203125","23882.83203125","23882.83203125"
"360","14874.19140625","14874.19140625","14874.19140625"
"380","20399.736328125","20399.736328125","20399.736328125"
"400","13211.71875","13211.71875","13211.71875"
"420","11295.185546875","11295.185546875","11295.185546875"
"440","16208.49609375","16208.49609375","16208.49609375"
"460","21584.705078125","21584.705078125","21584.705078125"
"480","11153.33203125","11153.33203125","11153.33203125"
"500","14707.0546875","14707.0546875","14707.0546875"
"520","10762.4091796875","10762.4091796875","10762.4091796875"
"540","13232.923828125","13232.923828125","13232.923828125"
"560","24097.587890625","24097.587890625","24097.587890625"
"580","25281.958984375","25281.958984375","25281.958984375"
"600","16523.095703125","16523.095703125","16523.095703125"
"620","11264.8056640625","11264.8056640625","11264.8056640625"
"640","9369.8857421875","9369.8857421875","9369.8857421875"
"660","23201.931640625","23201.931640625","23201.931640625"
"680","21612.00390625","21612.00390625","21612.00390625"
"700","12942.1552734375","12942.1552734375","12942.1552734375"
"720","25938.720703125","25938.720703125","25938.720703125"
"740","11308.3837890625","11308.3837890625","11308.3837890625"
"760","28694.28125","28694.28125","28694.28125"
"780","22309.095703125","22309.095703125","22309.095703125"
"800","8049.98876953125","8049.98876953125","8049.98876953125"
"820","17420.169921875","17420.169921875","17420.169921875"
"840","12019.83203125","12019.83203125","12019.83203125"
"860","17467.650390625","17467.650390625","17467.650390625"
"880","7184.2109375","7184.2109375","7184.2109375"
"900","22947.947265625","22947.947265625","22947.947265625"
"920","19734.640625","19734.640625","19734.640625"
"940","12093.7451171875","12093.7451171875","12093.7451171875"
"960","9900.0703125","9900.0703125","9900.0703125"
"980","9062.728515625","9062.728515625","9062.728515625"
"1000","9061.935546875","9061.935546875","9061.935546875"
"1020","12717.109375","12717.109375","12717.109375"
"1040","7581.98876953125","7581.98876953125","7581.98876953125"
"1060","12298.193359375","12298.193359375","12298.193359375"
"1080","15925.4453125","15925.4453125","15925.4453125"
"1100","11773.4931640625","11773.4931640625","11773.4931640625"
"1120","22039.111328125","22039.111328125","22039.111328125"
"1140","9916.7734375","9916.7734375","9916.7734375"
"1160","15203.90234375","15203.90234375","15203.90234375"
"1180","9247.7763671875","9247.7763671875","9247.7763671875"
"1200","23005.046875","23005.046875","23005.046875"
"1220","13121.7177734375","13121.7177734375","13121.7177734375"
"1240","13949.140625","13949.140625","13949.140625"
"1260","11080.1689453125","11080.1689453125","11080.1689453125"
"1280","21101.462890625","21101.462890625","21101.462890625"
"1300","11563.7314453125","11563.7314453125","11563.7314453125"
"1320","19781.62109375","19781.62109375","19781.62109375"
"1340","20818.759765625","20818.759765625","20818.759765625"
"1360","12432.3955078125","12432.3955078125","12432.3955078125"
"1380","13957.92578125","13957.92578125","13957.92578125"
"1400","13546.3779296875","13546.3779296875","13546.3779296875"
"1420","16598.482421875","16598.482421875","16598.482421875"
"1440","11921.140625","11921.140625","11921.140625"
"1460","15245.185546875","15245.185546875","15245.185546875"
"1480","15677.216796875","15677.216796875","15677.216796875"
"1500","17433.458984375","17433.458984375","17433.458984375"
"1520","23163.169921875","23163.169921875","23163.169921875"
"1540","12887.5146484375","12887.5146484375","12887.5146484375"
"1560","16325.837890625","16325.837890625","16325.837890625"
"1580","10110.9599609375","10110.9599609375","10110.9599609375"
"1600","17928.765625","17928.765625","17928.765625"
"1620","12103.640625","12103.640625","12103.640625"
"1640","12097.560546875","12097.560546875","12097.560546875"
"1660","15132.1806640625","15132.1806640625","15132.1806640625"
"1680","18966.4609375","18966.4609375","18966.4609375"
"1700","11948.7333984375","11948.7333984375","11948.7333984375"
"1720","9873.462890625","9873.462890625","9873.462890625"
"1740","11013.048828125","11013.048828125","11013.048828125"
"1760","11636.9169921875","11636.9169921875","11636.9169921875"
"1780","14160.64453125","14160.64453125","14160.64453125"
"1800","11826.40625","11826.40625","11826.40625"
"1820","11380.6181640625","11380.6181640625","11380.6181640625"
"1840","11738.7578125","11738.7578125","11738.7578125"
"1860","13771.5849609375","13771.5849609375","13771.5849609375"
"1880","17292.396484375","17292.396484375","17292.396484375"
"1900","11815.119140625","11815.119140625","11815.119140625"
"1920","14472.4736328125","14472.4736328125","14472.4736328125"
"1940","9002.623046875","9002.623046875","9002.623046875"
"1960","12609.0908203125","12609.0908203125","12609.0908203125"
"1980","14863.4697265625","14863.4697265625","14863.4697265625"
"2000","9828.7412109375","9828.7412109375","9828.7412109375"
"2020","14826.173828125","14826.173828125","14826.173828125"
"2040","16157.927734375","16157.927734375","16157.927734375"
"2060","12022.5390625","12022.5390625","12022.5390625"
"2080","11375.4794921875","11375.4794921875","11375.4794921875"
"2100","14597.5654296875","14597.5654296875","14597.5654296875"
"2120","10290.7900390625","10290.7900390625","10290.7900390625"
"2140","9306.39453125","9306.39453125","9306.39453125"
"2160","12570.9453125","12570.9453125","12570.9453125"
"2180","7610.5810546875","7610.5810546875","7610.5810546875"
"2200","8787.869140625","8787.869140625","8787.869140625"
"2220","10519.0361328125","10519.0361328125","10519.0361328125"
"2240","17657.86328125","17657.86328125","17657.86328125"
"2260","10745.8427734375","10745.8427734375","10745.8427734375"
