"Step","zerobase_linbeta_numdata5lag2noise1.0lo128hi128sz00001max50000_0706_121731 - Gradnorm","zerobase_linbeta_numdata5lag2noise1.0lo128hi128sz00001max50000_0706_121731 - Gradnorm__MIN","zerobase_linbeta_numdata5lag2noise1.0lo128hi128sz00001max50000_0706_121731 - Gradnorm__MAX"
"0","100000.0078125","100000.0078125","100000.0078125"
"20","15517.07421875","15517.07421875","15517.07421875"
"40","12280.314453125","12280.314453125","12280.314453125"
"60","19731.28125","19731.28125","19731.28125"
"80","19642.6875","19642.6875","19642.6875"
"100","36291.90625","36291.90625","36291.90625"
"120","20829.458984375","20829.458984375","20829.458984375"
"140","24597.75390625","24597.75390625","24597.75390625"
"160","24109.685546875","24109.685546875","24109.685546875"
"180","10763.8115234375","10763.8115234375","10763.8115234375"
"200","20106.076171875","20106.076171875","20106.076171875"
"220","20769.826171875","20769.826171875","20769.826171875"
"240","20840.130859375","20840.130859375","20840.130859375"
"260","30986.48046875","30986.48046875","30986.48046875"
"280","20953.009765625","20953.009765625","20953.009765625"
"300","25022.39453125","25022.39453125","25022.39453125"
"320","13436.57421875","13436.57421875","13436.57421875"
"340","25266.517578125","25266.517578125","25266.517578125"
"360","13561.1396484375","13561.1396484375","13561.1396484375"
"380","27739.52734375","27739.52734375","27739.52734375"
"400","25970.87109375","25970.87109375","25970.87109375"
"420","16752.5546875","16752.5546875","16752.5546875"
"440","19950.548828125","19950.548828125","19950.548828125"
"460","15676.236328125","15676.236328125","15676.236328125"
"480","31558.35546875","31558.35546875","31558.35546875"
"500","28699.5625","28699.5625","28699.5625"
"520","17650.71484375","17650.71484375","17650.71484375"
"540","18739.703125","18739.703125","18739.703125"
"560","20052.587890625","20052.587890625","20052.587890625"
"580","26973.00390625","26973.00390625","26973.00390625"
"600","15418.30078125","15418.30078125","15418.30078125"
"620","9591.955078125","9591.955078125","9591.955078125"
"640","20976.158203125","20976.158203125","20976.158203125"
"660","29156.431640625","29156.431640625","29156.431640625"
"680","39309.25390625","39309.25390625","39309.25390625"
"700","37399.05078125","37399.05078125","37399.05078125"
"720","47193.58203125","47193.58203125","47193.58203125"
"740","12085.7666015625","12085.7666015625","12085.7666015625"
"760","15654.25390625","15654.25390625","15654.25390625"
"780","32669.814453125","32669.814453125","32669.814453125"
"800","21324.21484375","21324.21484375","21324.21484375"
"820","17689.65234375","17689.65234375","17689.65234375"
"840","39308.85546875","39308.85546875","39308.85546875"
"860","53303.0078125","53303.0078125","53303.0078125"
"880","13354.5361328125","13354.5361328125","13354.5361328125"
"900","35106.19140625","35106.19140625","35106.19140625"
"920","19108.177734375","19108.177734375","19108.177734375"
"940","16903.486328125","16903.486328125","16903.486328125"
"960","13860.5693359375","13860.5693359375","13860.5693359375"
"980","19742.19921875","19742.19921875","19742.19921875"
"1000","30614.830078125","30614.830078125","30614.830078125"
"1020","26358.0859375","26358.0859375","26358.0859375"
"1040","21730.37109375","21730.37109375","21730.37109375"
"1060","15957.6923828125","15957.6923828125","15957.6923828125"
"1080","31464.037109375","31464.037109375","31464.037109375"
"1100","20845.365234375","20845.365234375","20845.365234375"
"1120","15547.083984375","15547.083984375","15547.083984375"
"1140","15640.607421875","15640.607421875","15640.607421875"
"1160","27764.4140625","27764.4140625","27764.4140625"
"1180","23085.60546875","23085.60546875","23085.60546875"
"1200","19024.255859375","19024.255859375","19024.255859375"
"1220","25205.908203125","25205.908203125","25205.908203125"
"1240","18777.1796875","18777.1796875","18777.1796875"
"1260","25142.458984375","25142.458984375","25142.458984375"
"1280","35085.3046875","35085.3046875","35085.3046875"
"1300","15497.6572265625","15497.6572265625","15497.6572265625"
"1320","12979.537109375","12979.537109375","12979.537109375"
"1340","17525.072265625","17525.072265625","17525.072265625"
"1360","15724.7587890625","15724.7587890625","15724.7587890625"
"1380","30081.56640625","30081.56640625","30081.56640625"
"1400","18936.927734375","18936.927734375","18936.927734375"
"1420","15569.8125","15569.8125","15569.8125"
"1440","17523.056640625","17523.056640625","17523.056640625"
"1460","21575.92578125","21575.92578125","21575.92578125"
"1480","20900.7265625","20900.7265625","20900.7265625"
"1500","26196.10546875","26196.10546875","26196.10546875"
"1520","24173.3359375","24173.3359375","24173.3359375"
"1540","19450.595703125","19450.595703125","19450.595703125"
"1560","13582.3369140625","13582.3369140625","13582.3369140625"
"1580","18568.03125","18568.03125","18568.03125"
"1600","25493.560546875","25493.560546875","25493.560546875"
"1620","19728.775390625","19728.775390625","19728.775390625"
"1640","30083.611328125","30083.611328125","30083.611328125"
"1660","17551.642578125","17551.642578125","17551.642578125"
"1680","24017.4140625","24017.4140625","24017.4140625"
"1700","12730.423828125","12730.423828125","12730.423828125"
"1720","28377.775390625","28377.775390625","28377.775390625"
"1740","21947.1328125","21947.1328125","21947.1328125"
"1760","17852.61328125","17852.61328125","17852.61328125"
"1780","20309.458984375","20309.458984375","20309.458984375"
"1800","17724.8046875","17724.8046875","17724.8046875"
"1820","11912.455078125","11912.455078125","11912.455078125"
"1840","6267.56396484375","6267.56396484375","6267.56396484375"
"1860","32290.30078125","32290.30078125","32290.30078125"
"1880","22917.1875","22917.1875","22917.1875"
"1900","19231.236328125","19231.236328125","19231.236328125"
"1920","28056.6640625","28056.6640625","28056.6640625"
"1940","34797.0625","34797.0625","34797.0625"
"1960","27649.849609375","27649.849609375","27649.849609375"
"1980","13124.283203125","13124.283203125","13124.283203125"
"2000","17770.07421875","17770.07421875","17770.07421875"
"2020","11185.302734375","11185.302734375","11185.302734375"
"2040","24274.6953125","24274.6953125","24274.6953125"
"2060","21676.072265625","21676.072265625","21676.072265625"
"2080","12205.546875","12205.546875","12205.546875"
"2100","14802.291015625","14802.291015625","14802.291015625"
"2120","9892.72265625","9892.72265625","9892.72265625"
"2140","9395.384765625","9395.384765625","9395.384765625"
"2160","16600.173828125","16600.173828125","16600.173828125"
"2180","34810.69921875","34810.69921875","34810.69921875"
"2200","17490.5234375","17490.5234375","17490.5234375"
"2220","16821.025390625","16821.025390625","16821.025390625"
"2240","10684.478515625","10684.478515625","10684.478515625"
"2260","18551.146484375","18551.146484375","18551.146484375"
"2280","26732.5703125","26732.5703125","26732.5703125"
"2300","41228.1328125","41228.1328125","41228.1328125"
"2320","18391.216796875","18391.216796875","18391.216796875"
"2340","9540.68359375","9540.68359375","9540.68359375"
"2360","36478.28515625","36478.28515625","36478.28515625"
"2380","13631.4423828125","13631.4423828125","13631.4423828125"
"2400","10923.552734375","10923.552734375","10923.552734375"
"2420","11174.634765625","11174.634765625","11174.634765625"
"2440","11692.90234375","11692.90234375","11692.90234375"
"2460","15301.1953125","15301.1953125","15301.1953125"
"2480","18638.8359375","18638.8359375","18638.8359375"
"2500","31975.103515625","31975.103515625","31975.103515625"
"2520","23556.1484375","23556.1484375","23556.1484375"
"2540","9057.5595703125","9057.5595703125","9057.5595703125"
"2560","14836.5849609375","14836.5849609375","14836.5849609375"
"2580","16664.150390625","16664.150390625","16664.150390625"
"2600","37125.234375","37125.234375","37125.234375"
"2620","14742.400390625","14742.400390625","14742.400390625"
"2640","15070.5908203125","15070.5908203125","15070.5908203125"
"2660","18818.046875","18818.046875","18818.046875"
"2680","18055.03515625","18055.03515625","18055.03515625"
"2700","16857.646484375","16857.646484375","16857.646484375"
"2720","11712.033203125","11712.033203125","11712.033203125"
"2740","16001.25390625","16001.25390625","16001.25390625"
"2760","16042.0078125","16042.0078125","16042.0078125"
"2780","10311.8935546875","10311.8935546875","10311.8935546875"
"2800","9250.51953125","9250.51953125","9250.51953125"
"2820","21002.7578125","21002.7578125","21002.7578125"
"2840","12836.4482421875","12836.4482421875","12836.4482421875"
"2860","12284.2314453125","12284.2314453125","12284.2314453125"
"2880","11808.521484375","11808.521484375","11808.521484375"
"2900","22337.8203125","22337.8203125","22337.8203125"
"2920","20611.388671875","20611.388671875","20611.388671875"
"2940","30177.10546875","30177.10546875","30177.10546875"
"2960","9857.427734375","9857.427734375","9857.427734375"
"2980","11517.7548828125","11517.7548828125","11517.7548828125"
"3000","14007.9306640625","14007.9306640625","14007.9306640625"
"3020","13334.529296875","13334.529296875","13334.529296875"
"3040","9725.322265625","9725.322265625","9725.322265625"
"3060","22711.4609375","22711.4609375","22711.4609375"
"3080","29168.7890625","29168.7890625","29168.7890625"
"3100","17593.654296875","17593.654296875","17593.654296875"
