"Step","zerobase_numdata5lag2noise1.0lo128hi128sz00001max50000_0706_120929 - Gradnorm","zerobase_numdata5lag2noise1.0lo128hi128sz00001max50000_0706_120929 - Gradnorm__MIN","zerobase_numdata5lag2noise1.0lo128hi128sz00001max50000_0706_120929 - Gradnorm__MAX"
"0","99999.9921875","99999.9921875","99999.9921875"
"20","23028.091796875","23028.091796875","23028.091796875"
"40","13768.732421875","13768.732421875","13768.732421875"
"60","16307.7724609375","16307.7724609375","16307.7724609375"
"80","14875.673828125","14875.673828125","14875.673828125"
"100","9957.919921875","9957.919921875","9957.919921875"
"120","39052.4765625","39052.4765625","39052.4765625"
"140","24680.970703125","24680.970703125","24680.970703125"
"160","20942.212890625","20942.212890625","20942.212890625"
"180","32846.76171875","32846.76171875","32846.76171875"
"200","23329.005859375","23329.005859375","23329.005859375"
"220","13852.7158203125","13852.7158203125","13852.7158203125"
"240","12290.8984375","12290.8984375","12290.8984375"
"260","19835.634765625","19835.634765625","19835.634765625"
"280","11170.828125","11170.828125","11170.828125"
"300","11502.28125","11502.28125","11502.28125"
"320","9837.3203125","9837.3203125","9837.3203125"
"340","19804.92578125","19804.92578125","19804.92578125"
"360","21665.9453125","21665.9453125","21665.9453125"
"380","13688.853515625","13688.853515625","13688.853515625"
"400","10891.185546875","10891.185546875","10891.185546875"
"420","19273.587890625","19273.587890625","19273.587890625"
"440","11259.671875","11259.671875","11259.671875"
"460","20235.662109375","20235.662109375","20235.662109375"
"480","18716.38671875","18716.38671875","18716.38671875"
"500","28576.181640625","28576.181640625","28576.181640625"
"520","9579.822265625","9579.822265625","9579.822265625"
"540","11274.6044921875","11274.6044921875","11274.6044921875"
"560","10294.4619140625","10294.4619140625","10294.4619140625"
"580","16704.703125","16704.703125","16704.703125"
"600","14373.21484375","14373.21484375","14373.21484375"
"620","9561.7578125","9561.7578125","9561.7578125"
"640","14957.345703125","14957.345703125","14957.345703125"
"660","8231.7158203125","8231.7158203125","8231.7158203125"
"680","23632.953125","23632.953125","23632.953125"
"700","9966.3212890625","9966.3212890625","9966.3212890625"
"720","8322.99609375","8322.99609375","8322.99609375"
"740","22704.017578125","22704.017578125","22704.017578125"
"760","18539.220703125","18539.220703125","18539.220703125"
"780","13676.626953125","13676.626953125","13676.626953125"
"800","8757.1650390625","8757.1650390625","8757.1650390625"
"820","10726.2421875","10726.2421875","10726.2421875"
"840","15911.1865234375","15911.1865234375","15911.1865234375"
"860","12194.1162109375","12194.1162109375","12194.1162109375"
"880","16777.9296875","16777.9296875","16777.9296875"
"900","8496.1259765625","8496.1259765625","8496.1259765625"
"920","15847.2783203125","15847.2783203125","15847.2783203125"
"940","23616.6484375","23616.6484375","23616.6484375"
"960","16889.041015625","16889.041015625","16889.041015625"
"980","31342.482421875","31342.482421875","31342.482421875"
"1000","18732.822265625","18732.822265625","18732.822265625"
"1020","15661.1328125","15661.1328125","15661.1328125"
"1040","13669.1298828125","13669.1298828125","13669.1298828125"
"1060","21501.4609375","21501.4609375","21501.4609375"
"1080","8414.732421875","8414.732421875","8414.732421875"
"1100","21739.525390625","21739.525390625","21739.525390625"
"1120","6083.796875","6083.796875","6083.796875"
"1140","16846.2734375","16846.2734375","16846.2734375"
"1160","16328.7783203125","16328.7783203125","16328.7783203125"
"1180","21290.3828125","21290.3828125","21290.3828125"
"1200","12168.4599609375","12168.4599609375","12168.4599609375"
"1220","15830.958984375","15830.958984375","15830.958984375"
"1240","9457.6240234375","9457.6240234375","9457.6240234375"
"1260","17851.775390625","17851.775390625","17851.775390625"
"1280","18341.5078125","18341.5078125","18341.5078125"
"1300","14862.716796875","14862.716796875","14862.716796875"
"1320","11734.6220703125","11734.6220703125","11734.6220703125"
"1340","9625.837890625","9625.837890625","9625.837890625"
"1360","6883.86181640625","6883.86181640625","6883.86181640625"
"1380","8944.1337890625","8944.1337890625","8944.1337890625"
"1400","11840.9765625","11840.9765625","11840.9765625"
"1420","20603.873046875","20603.873046875","20603.873046875"
"1440","10597.45703125","10597.45703125","10597.45703125"
"1460","15163.48046875","15163.48046875","15163.48046875"
"1480","11160.6455078125","11160.6455078125","11160.6455078125"
"1500","6893.12353515625","6893.12353515625","6893.12353515625"
"1520","12856.744140625","12856.744140625","12856.744140625"
"1540","19937.123046875","19937.123046875","19937.123046875"
"1560","18396.916015625","18396.916015625","18396.916015625"
"1580","6175.42724609375","6175.42724609375","6175.42724609375"
"1600","13823.9189453125","13823.9189453125","13823.9189453125"
